Ano_Hidrologico;Caudal_Max_m3s;Ranking_m;Prob_Excedencia_P;Periodo_Retorno_T
1979;1069.0;14;0.3333333333333333;3.0
1980;1987.0;1;0.023809523809523808;42.0
1981;839.0;23;0.5476190476190477;1.826086956521739
1982;1140.0;10;0.23809523809523808;4.2
1983;702.0;28;0.6666666666666666;1.5
1984;1407.0;4;0.09523809523809523;10.5
1985;857.0;20;0.47619047619047616;2.1
1986;1108.0;12;0.2857142857142857;3.5
1987;656.0;31;0.7380952380952381;1.3548387096774193
1988;556.0;35;0.8333333333333334;1.2
1989;924.0;18;0.42857142857142855;2.3333333333333335
1990;557.0;34;0.8095238095238095;1.2352941176470589
1991;1246.0;7;0.16666666666666666;6.0
1992;1336.0;5;0.11904761904761904;8.4
1993;1424.0;3;0.07142857142857142;14.0
1994;1221.0;8;0.19047619047619047;5.25
1995;940.0;16;0.38095238095238093;2.625
1996;498.0;36;0.8571428571428571;1.1666666666666667
1997;907.0;19;0.4523809523809524;2.2105263157894735
1998;310.0;40;0.9523809523809523;1.05
1999;706.0;27;0.6428571428571429;1.5555555555555554
2000;1214.0;9;0.21428571428571427;4.666666666666667
2001;1029.0;15;0.35714285714285715;2.8
2002;1110.0;11;0.2619047619047619;3.818181818181818
2003;925.0;17;0.40476190476190477;2.4705882352941178
2004;792.0;24;0.5714285714285714;1.75
2005;1077.0;13;0.30952380952380953;3.230769230769231
2006;1270.0;6;0.14285714285714285;7.0
2007;643.0;32;0.7619047619047619;1.3125
2008;1583.0;2;0.047619047619047616;21.0
2009;843.0;22;0.5238095238095238;1.909090909090909
2010;688.0;29;0.6904761904761905;1.4482758620689655
2011;478.0;38;0.9047619047619048;1.1052631578947367
2012;371.0;39;0.9285714285714286;1.0769230769230769
2013;482.0;37;0.8809523809523809;1.135135135135135
2014;844.0;21;0.5;2.0
2015;663.0;30;0.7142857142857143;1.4
2016;302.0;41;0.9761904761904762;1.024390243902439
2017;787.0;25;0.5952380952380952;1.68
2018;560.0;33;0.7857142857142857;1.2727272727272727
2019;779.0;26;0.6190476190476191;1.6153846153846154
